Comparison ID,Field,Predicted Value,Ground Truth Value,Match,Form Type
4,State 1 Income Tax Withheld,4716.75,4176.75,False,ADP1
4,State 2,,,True,ADP1
4,State 2 Wages and Tips,,,True,ADP1
4,State 2 Income Tax Withheld,,,True,ADP1
4,Field Count Check,Yes,Yes,True,ADP1
5,Employee Name,Alec Stuart,Alec Stuart,True,ADP1
5,Employer Name,Ross-Owen LLC,Ross-Owen LLC,True,ADP1
5,Wages and Tips,135409.02,135409.02,True,ADP1
5,Federal Income Tax Withheld,27048.50,27048.50,True,ADP1
5,Social Security Wages,172224.73,172226.73,False,ADP1
5,Medicare Wages and Tips,162890.57,162890.57,True,ADP1
5,State 1,TN,TN,True,ADP1
5,State 1 Wages and Tips,66698.70,66698.70,True,ADP1
5,State 1 Income Tax Withheld,4890.42,4869.42,False,ADP1
5,State 2,,,True,ADP1
5,State 2 Wages and Tips,,,True,ADP1
5,State 2 Income Tax Withheld,,,True,ADP1
5,Field Count Check,Yes,Yes,True,ADP1
6,Employee Name,Thomas Harrington,Thomas Harrington,True,ADP1
6,Employer Name,Marshall-Grant Inc,Marshall-Grant Inc,True,ADP1
6,Wages and Tips,247552.50,247552.50,True,ADP1
6,Federal Income Tax Withheld,61445.42,61445.42,True,ADP1
6,Social Security Wages,262935.13,262835.13,False,ADP1
6,Medicare Wages and Tips,314068.58,314069.58,False,ADP1
6,State 1,VA,VA,True,ADP1
6,State 1 Wages and Tips,122407.69,122407.69,True,ADP1
6,State 1 Income Tax Withheld,11895.36,11895.36,True,ADP1
6,State 2,,,True,ADP1
6,State 2 Wages and Tips,,,True,ADP1
6,State 2 Income Tax Withheld,,,True,ADP1
6,Field Count Check,Yes,Yes,True,ADP1
7,Employee Name,Heather Martin,Heather Martin,True,ADP1
7,Employer Name,Henderson and Sons Inc,Henderson and Sons Inc,True,ADP1
7,Wages and Tips,44792.71,44792.71,True,ADP1
7,Federal Income Tax Withheld,15008.60,15008.60,True,ADP1
7,Social Security Wages,35049.89,35949.89,False,ADP1
7,Medicare Wages and Tips,44934.56,44934.56,True,ADP1
7,State 1,ME,ME,True,ADP1
7,State 1 Wages and Tips,21382.66,21382.66,True,ADP1
7,State 1 Income Tax Withheld,1705.35,1706.35,False,ADP1
7,State 2,,,True,ADP1
7,State 2 Wages and Tips,,,True,ADP1
7,State 2 Income Tax Withheld,,,True,ADP1
7,Field Count Check,Yes,Yes,True,ADP1
8,Employee Name,Randy Calhoun,Randy Calhoun,True,ADP1
8,Employer Name,Griffin-Howard Ltd,Griffin-Howard Ltd,True,ADP1
8,Wages and Tips,220551.28,220511.28,False,ADP1
8,Federal Income Tax Withheld,63593.70,63593.70,True,ADP1
8,Social Security Wages,245653.79,245653.79,True,ADP1
8,Medicare Wages and Tips,156264.20,156264.20,True,ADP1
8,State 1,SC,SC,True,ADP1
8,State 1 Wages and Tips,101610.23,101610.23,True,ADP1
8,State 1 Income Tax Withheld,11987.62,11987.62,True,ADP1
8,State 2,,,True,ADP1
8,State 2 Wages and Tips,,,True,ADP1
8,State 2 Income Tax Withheld,,,True,ADP1
8,Field Count Check,Yes,Yes,True,ADP1
9,Employee Name,Barbara Gonzales,Barbara Gonzales,True,ADP1
9,Employer Name,"Collins, Dominguez and Cook PLC","Collins, Dominguez and Cook PLC",True,ADP1
9,Wages and Tips,222796.64,222798.64,False,ADP1
9,Federal Income Tax Withheld,46306.98,46306.98,True,ADP1
9,Social Security Wages,288024.00,288026.00,False,ADP1
9,Medicare Wages and Tips,229341.37,229341.37,True,ADP1
9,State 1,ID,ID,True,ADP1
9,State 1 Wages and Tips,105497.72,105497.72,True,ADP1
9,State 1 Income Tax Withheld,11359.73,11359.73,True,ADP1
9,State 2,,,True,ADP1
9,State 2 Wages and Tips,,,True,ADP1
9,State 2 Income Tax Withheld,,,True,ADP1
9,Field Count Check,Yes,Yes,True,ADP1
10,Employee Name,Erica Lee,Erica Lee,True,ADP1
10,Employer Name,Castillo-Schroeder PLC,Castillo-Schroeder PLC,True,ADP1
10,Wages and Tips,48477.16,48477.16,True,ADP1
10,Federal Income Tax Withheld,7189.48,7189.48,True,ADP1
10,Social Security Wages,41868.71,41868.71,True,ADP1
10,Medicare Wages and Tips,54107.36,54107.36,True,ADP1
10,State 1,KS,KS,True,ADP1
10,State 1 Wages and Tips,25909.23,25909.23,True,ADP1
10,State 1 Income Tax Withheld,845.38,845.38,True,ADP1
10,State 2,,,True,ADP1
10,State 2 Wages and Tips,,,True,ADP1
10,State 2 Income Tax Withheld,,,True,ADP1
10,Field Count Check,Yes,Yes,True,ADP1
11,Employee Name,Tina Bryant,Tina Bryant,True,ADP1
11,Employer Name,"Reed, Middleton and Lynch PLC","Reed, Middleton and Lynch PLC",True,ADP1
11,Wages and Tips,105976.02,105976.02,True,ADP1
11,Federal Income Tax Withheld,26192.82,26192.82,True,ADP1
11,Social Security Wages,118502.15,118502.15,True,ADP1
11,Medicare Wages and Tips,104718.48,104718.48,True,ADP1
11,State 1,MI,MI,True,ADP1
11,State 1 Wages and Tips,53743.22,53745.22,False,ADP1
11,State 1 Income Tax Withheld,3841.89,3841.89,True,ADP1
11,State 2,,,True,ADP1
11,State 2 Wages and Tips,,,True,ADP1
11,State 2 Income Tax Withheld,,,True,ADP1
11,Field Count Check,Yes,Yes,True,ADP1
12,Employee Name,Stacie Bruce,Stacie Bruce,True,ADP1
12,Employer Name,"Terry, Brown and Clark Ltd","Terry, Brown and Clark Ltd",True,ADP1
12,Wages and Tips,236986.14,236986.14,True,ADP1
12,Federal Income Tax Withheld,76159.82,76159.82,True,ADP1
12,Social Security Wages,190386.15,190388.15,False,ADP1
12,Medicare Wages and Tips,174207.22,174207.22,True,ADP1
12,State 1,VA,VA,True,ADP1
12,State 1 Wages and Tips,112115.42,112115.42,True,ADP1
12,State 1 Income Tax Withheld,9114.07,9114.07,True,ADP1
12,State 2,,,True,ADP1
12,State 2 Wages and Tips,,,True,ADP1
12,State 2 Income Tax Withheld,,,True,ADP1
12,Field Count Check,Yes,Yes,True,ADP1
13,Employee Name,Nicholas Perry,Nicholas Perry,True,ADP1
13,Employer Name,Nelson Group Inc,Nelson Group Inc,True,ADP1
13,Wages and Tips,72366.23,72366.23,True,ADP1
13,Federal Income Tax Withheld,10259.70,10259.70,True,ADP1
13,Social Security Wages,69010.85,69010.85,True,ADP1
13,Medicare Wages and Tips,65937.92,65937.92,True,ADP1
13,State 1,KY,WY,False,ADP1
13,State 1 Wages and Tips,34841.25,34841.25,True,ADP1
13,State 1 Income Tax Withheld,2620.56,2630.56,False,ADP1
13,State 2,,,True,ADP1
13,State 2 Wages and Tips,,,True,ADP1
13,State 2 Income Tax Withheld,,,True,ADP1
13,Field Count Check,Yes,Yes,True,ADP1
14,Employee Name,Robin Torres,Robin Torres,True,ADP1
14,Employer Name,Williams-Myers Inc,Williams-Myers Inc,True,ADP1
14,Wages and Tips,221439.75,221439.75,True,ADP1
14,Federal Income Tax Withheld,60479.34,60479.34,True,ADP1
14,Social Security Wages,228819.45,228819.45,True,ADP1
14,Medicare Wages and Tips,247763.27,247763.27,True,ADP1
14,State 1,NC,NC,True,ADP1
14,State 1 Wages and Tips,107638.10,107638.10,True,ADP1
14,State 1 Income Tax Withheld,10590.80,10509.80,False,ADP1
14,State 2,,,True,ADP1
14,State 2 Wages and Tips,,,True,ADP1
14,State 2 Income Tax Withheld,,,True,ADP1
14,Field Count Check,Yes,Yes,True,ADP1
15,Employee Name,Kristin Hartman,Kristin Hartman,True,ADP1
15,Employer Name,Mogee-Roberts Ltd,Mcgee-Roberts Ltd,False,ADP1
15,Wages and Tips,104281.69,104281.69,True,ADP1
15,Federal Income Tax Withheld,16475.73,16475.73,True,ADP1
15,Social Security Wages,79605.47,79605.47,True,ADP1
15,Medicare Wages and Tips,103473.00,103473.00,True,ADP1
15,State 1,MN,MN,True,ADP1
15,State 1 Wages and Tips,57191.91,57191.91,True,ADP1
15,State 1 Income Tax Withheld,3039.12,3039.12,True,ADP1
15,State 2,,,True,ADP1
15,State 2 Wages and Tips,,,True,ADP1
15,State 2 Income Tax Withheld,,,True,ADP1
15,Field Count Check,Yes,Yes,True,ADP1
16,Employee Name,Mitchell Kirk,Mitchell Kirk,True,ADP1
16,Employer Name,White-Harris Group,White-Harris Group,True,ADP1
16,Wages and Tips,84746.51,84746.51,True,ADP1
16,Federal Income Tax Withheld,23351.01,23351.01,True,ADP1
16,Social Security Wages,97645.31,95765.31,False,ADP1
16,Medicare Wages and Tips,99463.54,99463.54,True,ADP1
16,State 1,MI,HI,False,ADP1
16,State 1 Wages and Tips,42581.88,42581.88,True,ADP1
16,State 1 Income Tax Withheld,3658.46,3656.46,False,ADP1
16,State 2,,,True,ADP1
16,State 2 Wages and Tips,,,True,ADP1
16,State 2 Income Tax Withheld,,,True,ADP1
16,Field Count Check,Yes,Yes,True,ADP1
17,Employee Name,Bruce Jones,Bruce Jones,True,ADP1
17,Employer Name,Gardner-Anderson LLC,Gardner-Anderson LLC,True,ADP1
17,Wages and Tips,42985.62,42985.62,True,ADP1
17,Federal Income Tax Withheld,8599.38,8599.38,True,ADP1
17,Social Security Wages,43332.19,42332.19,False,ADP1
17,Medicare Wages and Tips,35491.09,35491.09,True,ADP1
17,State 1,NJ,NJ,True,ADP1
17,State 1 Wages and Tips,21589.72,21589.72,True,ADP1
17,State 1 Income Tax Withheld,1285.99,1285.90,False,ADP1
17,State 2,,,True,ADP1
17,State 2 Wages and Tips,,,True,ADP1
17,State 2 Income Tax Withheld,,,True,ADP1
17,Field Count Check,Yes,Yes,True,ADP1
18,Employee Name,Aaron Hill,Aaron Hill,True,ADP1
18,Employer Name,Cherry PLC LLC,Cherry PLC LLC,True,ADP1
18,Wages and Tips,231104.78,231104.78,True,ADP1
18,Federal Income Tax Withheld,68864.89,68864.89,True,ADP1
18,Social Security Wages,188074.58,188074.58,True,ADP1
18,Medicare Wages and Tips,266516.03,266516.03,True,ADP1
18,State 1,WI,WI,True,ADP1
18,State 1 Wages and Tips,114371.57,114371.57,True,ADP1
18,State 1 Income Tax Withheld,6608.78,6606.78,False,ADP1
18,State 2,,,True,ADP1
18,State 2 Wages and Tips,,,True,ADP1
18,State 2 Income Tax Withheld,,,True,ADP1
18,Field Count Check,Yes,Yes,True,ADP1
19,Employee Name,Spencer White,Spencer White,True,ADP1
19,Employer Name,Sanders PLC LLC,Sanders PLC LLC,True,ADP1
19,Wages and Tips,64270.87,64270.87,True,ADP1
19,Federal Income Tax Withheld,8029.44,8029.44,True,ADP1
19,Social Security Wages,50214.61,50214.61,True,ADP1
19,Medicare Wages and Tips,59656.44,59656.44,True,ADP1
19,State 1,UT,UT,True,ADP1
19,State 1 Wages and Tips,34987.05,34987.05,True,ADP1
19,State 1 Income Tax Withheld,2846.60,2846.60,True,ADP1
19,State 2,,,True,ADP1
19,State 2 Wages and Tips,,,True,ADP1
19,State 2 Income Tax Withheld,,,True,ADP1
19,Field Count Check,Yes,Yes,True,ADP1
20,Employee Name,Jamie Larsen,Jamie Larsen,True,ADP1
20,Employer Name,"Gibson, Sanchez and Campbell LLC","Gibson, Sanchez and Campbell LLC",True,ADP1
20,Wages and Tips,140274.82,142074.82,False,ADP1
20,Federal Income Tax Withheld,25988.38,25988.38,True,ADP1
20,Social Security Wages,116296.36,116296.36,True,ADP1
20,Medicare Wages and Tips,142551.35,142551.35,True,ADP1
20,State 1,AR,AR,True,ADP1
20,State 1 Wages and Tips,69343.61,69343.61,True,ADP1
20,State 1 Income Tax Withheld,3757.81,3757.81,True,ADP1
20,State 2,,,True,ADP1
20,State 2 Wages and Tips,,,True,ADP1
20,State 2 Income Tax Withheld,,,True,ADP1
20,Field Count Check,Yes,Yes,True,ADP1
21,Employee Name,Bryan Herring,Bryan Herring,True,ADP1
21,Employer Name,"Luna, Hernandez and Mata PLC","Luna, Hernandez and Mata PLC",True,ADP1
21,Wages and Tips,143846.70,143845.70,False,ADP1
21,Federal Income Tax Withheld,48269.60,48268.60,False,ADP1
21,Social Security Wages,103241.82,102342.82,False,ADP1
21,Medicare Wages and Tips,104576.64,104576.64,True,ADP1
21,State 1,MO,MO,True,ADP1
21,State 1 Wages and Tips,76108.79,76108.79,True,ADP1
21,State 1 Income Tax Withheld,5780.14,5780.14,True,ADP1
21,State 2,,,True,ADP1
21,State 2 Wages and Tips,,,True,ADP1
21,State 2 Income Tax Withheld,,,True,ADP1
21,Field Count Check,Yes,Yes,True,ADP1
22,Employee Name,David Choi,David Choi,True,ADP1
22,Employer Name,Sanchez-Leon Inc,Sanchez-Leon Inc,True,ADP1
22,Wages and Tips,94854.66,94854.66,True,ADP1
22,Federal Income Tax Withheld,27856.75,27856.75,True,ADP1
22,Social Security Wages,117534.27,117534.27,True,ADP1
22,Medicare Wages and Tips,92354.49,92354.49,True,ADP1
22,State 1,SD,SD,True,ADP1
22,State 1 Wages and Tips,43144.55,43146.55,False,ADP1
22,State 1 Income Tax Withheld,1906.21,1906.21,True,ADP1
22,State 2,,,True,ADP1
22,State 2 Wages and Tips,,,True,ADP1
22,State 2 Income Tax Withheld,,,True,ADP1
22,Field Count Check,Yes,Yes,True,ADP1
23,Employee Name,Justin Gonzalez,Justin Gonzalez,True,ADP1
23,Employer Name,"Smith, Rose and French Ltd","Smith, Rose and French Ltd",True,ADP1
23,Wages and Tips,53304.86,53364.86,False,ADP1
23,Federal Income Tax Withheld,9981.38,9981.38,True,ADP1
23,Social Security Wages,61496.00,41698.60,False,ADP1
23,Medicare Wages and Tips,39135.00,39135.00,True,ADP1
23,State 1,UT,UT,True,ADP1
23,State 1 Wages and Tips,26838.41,26838.41,True,ADP1
23,State 1 Income Tax Withheld,2527.01,2527.01,True,ADP1
23,State 2,,,True,ADP1
23,State 2 Wages and Tips,,,True,ADP1
23,State 2 Income Tax Withheld,,,True,ADP1
23,Field Count Check,Yes,Yes,True,ADP1
24,Employee Name,John Kelly,John Kelly,True,ADP1
24,Employer Name,Jones Ltd Ltd,Jones Ltd Ltd,True,ADP1
24,Wages and Tips,64016.25,64016.25,True,ADP1
24,Federal Income Tax Withheld,10020.58,10020.58,True,ADP1
24,Social Security Wages,49434.87,49143.87,False,ADP1
24,Medicare Wages and Tips,51146.50,51146.50,True,ADP1
24,State 1,WI,WI,True,ADP1
24,State 1 Wages and Tips,31107.89,31107.89,True,ADP1
24,State 1 Income Tax Withheld,2200.93,2200.93,True,ADP1
24,State 2,,,True,ADP1
24,State 2 Wages and Tips,,,True,ADP1
24,State 2 Income Tax Withheld,,,True,ADP1
24,Field Count Check,Yes,Yes,True,ADP1
25,Employee Name,Steven Gallagher,Steven Gallagher,True,ADP2
25,Employer Name,Russell-Perry Ltd,Russell-Perry Ltd,True,ADP2
25,Wages and Tips,158646.42,158646.42,True,ADP2
25,Federal Income Tax Withheld,53019.99,53019.99,True,ADP2
25,Social Security Wages,202034.93,202034.93,True,ADP2
25,Medicare Wages and Tips,186980.56,186980.56,True,ADP2
25,State 1,MS,MS,True,ADP2
25,State 1 Wages and Tips,84606.23,84606.23,True,ADP2
25,State 1 Income Tax Withheld,6352.73,6352.73,True,ADP2
25,State 2,,,True,ADP2
25,State 2 Wages and Tips,,,True,ADP2
25,State 2 Income Tax Withheld,,,True,ADP2
25,Field Count Check,Yes,Yes,True,ADP2
26,Employee Name,James Patel,James Patel,True,ADP2
26,Employer Name,"Thomas, Wang and Dean Inc","Thomas, Wang and Dean Inc",True,ADP2
26,Wages and Tips,240550.20,240550.20,True,ADP2
26,Federal Income Tax Withheld,66193.23,66193.23,True,ADP2
26,Social Security Wages,193414.25,193414.25,True,ADP2
26,Medicare Wages and Tips,190639.64,190639.64,True,ADP2
26,State 1,NV,NV,True,ADP2
26,State 1 Wages and Tips,114871.17,114871.17,True,ADP2
26,State 1 Income Tax Withheld,8020.75,8020.75,True,ADP2
26,State 2,,,True,ADP2
26,State 2 Wages and Tips,,,True,ADP2
26,State 2 Income Tax Withheld,,,True,ADP2
26,Field Count Check,Yes,Yes,True,ADP2
27,Employee Name,Samuel Sampson,Samuel Sampson,True,ADP2
27,Employer Name,"Olson, White and Rodriguez Ltd","Olson, White and Rodriguez Ltd",True,ADP2
27,Wages and Tips,190474.44,190474.44,True,ADP2
27,Federal Income Tax Withheld,51726.34,51726.34,True,ADP2
27,Social Security Wages,175050.27,175050.27,True,ADP2
27,Medicare Wages and Tips,230247.50,230247.50,True,ADP2
27,State 1,KS,KS,True,ADP2
27,State 1 Wages and Tips,90356.58,90356.58,True,ADP2
27,State 1 Income Tax Withheld,6612.65,6612.65,True,ADP2
27,State 2,,,True,ADP2
27,State 2 Wages and Tips,,,True,ADP2
27,State 2 Income Tax Withheld,,,True,ADP2
27,Field Count Check,Yes,Yes,True,ADP2
28,Employee Name,Erik Gibbs,Erik Gibbs,True,ADP2
28,Employer Name,Smith-Barnett PLC,Smith-Barnett PLC,True,ADP2
28,Wages and Tips,201152.66,201152.66,True,ADP2
28,Federal Income Tax Withheld,29090.79,29090.79,True,ADP2
28,Social Security Wages,236162.64,236162.64,True,ADP2
28,Medicare Wages and Tips,190655.79,190655.79,True,ADP2
28,State 1,NY,NY,True,ADP2
28,State 1 Wages and Tips,102786.37,102786.37,True,ADP2
28,State 1 Income Tax Withheld,7528.44,7528.44,True,ADP2
28,State 2,,,True,ADP2
28,State 2 Wages and Tips,,,True,ADP2
28,State 2 Income Tax Withheld,,,True,ADP2
28,Field Count Check,Yes,Yes,True,ADP2
29,Employee Name,Carlos Goodwin,Carlos Goodwin,True,ADP2
29,Employer Name,Garcia PLC Inc,Garcia PLC Inc,True,ADP2
29,Wages and Tips,121459.59,121459.59,True,ADP2
29,Federal Income Tax Withheld,41174.90,41174.90,True,ADP2
29,Social Security Wages,144405.72,144405.72,True,ADP2
29,Medicare Wages and Tips,98590.29,98590.29,True,ADP2
29,State 1,WI,WI,True,ADP2
29,State 1 Wages and Tips,65909.52,65909.52,True,ADP2
29,State 1 Income Tax Withheld,5951.87,5951.87,True,ADP2
29,State 2,,,True,ADP2
29,State 2 Wages and Tips,,,True,ADP2
29,State 2 Income Tax Withheld,,,True,ADP2
29,Field Count Check,Yes,Yes,True,ADP2
30,Employee Name,Jason Edwards,Jason Edwards,True,ADP2
30,Employer Name,Johnston-Diaz Ltd,Johnston-Diaz Ltd,True,ADP2
30,Wages and Tips,94952.85,94952.85,True,ADP2
30,Federal Income Tax Withheld,16540.33,16540.33,True,ADP2
30,Social Security Wages,108257.22,108257.22,True,ADP2
30,Medicare Wages and Tips,79996.43,79996.43,True,ADP2
30,State 1,OR,OR,True,ADP2
30,State 1 Wages and Tips,49567.41,49567.41,True,ADP2
30,State 1 Income Tax Withheld,1920.53,1920.53,True,ADP2
30,State 2,,,True,ADP2
30,State 2 Wages and Tips,,,True,ADP2
30,State 2 Income Tax Withheld,,,True,ADP2
30,Field Count Check,Yes,Yes,True,ADP2
31,Employee Name,Natalie Thompson,Natalie Thompson,True,ADP2
31,Employer Name,King-Conrad LLC,King-Conrad LLC,True,ADP2
31,Wages and Tips,224863.08,224863.08,True,ADP2
31,Federal Income Tax Withheld,25845.60,25845.60,True,ADP2
31,Social Security Wages,189658.20,189658.20,True,ADP2
31,Medicare Wages and Tips,213604.61,213604.61,True,ADP2
31,State 1,ME,ME,True,ADP2
31,State 1 Wages and Tips,118132.98,118132.98,True,ADP2
31,State 1 Income Tax Withheld,5833.87,5833.87,True,ADP2
31,State 2,,,True,ADP2
31,State 2 Wages and Tips,,,True,ADP2
31,State 2 Income Tax Withheld,,,True,ADP2
31,Field Count Check,Yes,Yes,True,ADP2
32,Employee Name,Taylor Watts,Taylor Watts,True,ADP2
32,Employer Name,Waller-Hammond Group,Waller-Hammond Group,True,ADP2
32,Wages and Tips,158916.89,158916.89,True,ADP2
32,Federal Income Tax Withheld,34883.22,34883.22,True,ADP2
32,Social Security Wages,142978.09,142978.09,True,ADP2
32,Medicare Wages and Tips,149412.95,149412.95,True,ADP2
32,State 1,AZ,AZ,True,ADP2
32,State 1 Wages and Tips,75239.97,75239.97,True,ADP2
32,State 1 Income Tax Withheld,3710.61,3710.61,True,ADP2
32,State 2,,,True,ADP2
32,State 2 Wages and Tips,,,True,ADP2
32,State 2 Income Tax Withheld,,,True,ADP2
32,Field Count Check,Yes,Yes,True,ADP2
33,Employee Name,Edward Valdez,Edward Valdez,True,ADP2
33,Employer Name,"Jackson, Black and Coleman Ltd","Jackson, Black and Coleman Ltd",True,ADP2
33,Wages and Tips,67768.27,67768.27,True,ADP2
33,Federal Income Tax Withheld,22110.14,22110.14,True,ADP2
33,Social Security Wages,80965.34,80965.34,True,ADP2
33,Medicare Wages and Tips,56086.09,56086.09,True,ADP2
33,State 1,MI,MI,True,ADP2
33,State 1 Wages and Tips,33522.47,33522.47,True,ADP2
33,State 1 Income Tax Withheld,2453.72,2453.72,True,ADP2
33,State 2,,,True,ADP2
33,State 2 Wages and Tips,,,True,ADP2
33,State 2 Income Tax Withheld,,,True,ADP2
33,Field Count Check,Yes,Yes,True,ADP2
34,Employee Name,Lynn Miranda,Lynn Miranda,True,ADP2
34,Employer Name,"Collins, Potter and Hill Inc","Collins, Potter and Hill Inc",True,ADP2
34,Wages and Tips,67328.87,67328.87,True,ADP2
34,Federal Income Tax Withheld,10223.79,10223.79,True,ADP2
34,Social Security Wages,63436.14,63436.14,True,ADP2
34,Medicare Wages and Tips,66021.75,66021.75,True,ADP2
34,State 1,IA,IA,True,ADP2
34,State 1 Wages and Tips,32567.59,32567.59,True,ADP2
34,State 1 Income Tax Withheld,2374.56,2374.56,True,ADP2
34,State 2,,,True,ADP2
34,State 2 Wages and Tips,,,True,ADP2
34,State 2 Income Tax Withheld,,,True,ADP2
34,Field Count Check,Yes,Yes,True,ADP2
35,Employee Name,Amanda Hale,Amanda Hale,True,ADP2
35,Employer Name,Martinez-Petty LLC,Martinez-Petty LLC,True,ADP2
35,Wages and Tips,129454.28,129454.28,True,ADP2
35,Federal Income Tax Withheld,27149.71,27149.71,True,ADP2
35,Social Security Wages,154821.10,154821.10,True,ADP2
35,Medicare Wages and Tips,117419.63,117419.63,True,ADP2
35,State 1,OR,OR,True,ADP2
35,State 1 Wages and Tips,59308.91,59308.91,True,ADP2
35,State 1 Income Tax Withheld,4194.36,4194.36,True,ADP2
35,State 2,,,True,ADP2
35,State 2 Wages and Tips,,,True,ADP2
35,State 2 Income Tax Withheld,,,True,ADP2
35,Field Count Check,Yes,Yes,True,ADP2
36,Employee Name,Tamara Parker,Tamara Parker,True,ADP2
36,Employer Name,Wright-Mullins LLC,Wright-Mullins LLC,True,ADP2
36,Wages and Tips,217121.52,217121.52,True,ADP2
36,Federal Income Tax Withheld,59149.63,59149.63,True,ADP2
36,Social Security Wages,272926.45,272926.45,True,ADP2
36,Medicare Wages and Tips,164326.30,164326.30,True,ADP2
36,State 1,HI,HI,True,ADP2
36,State 1 Wages and Tips,106414.23,106414.23,True,ADP2
36,State 1 Income Tax Withheld,8331.14,8331.14,True,ADP2
36,State 2,,,True,ADP2
36,State 2 Wages and Tips,,,True,ADP2
36,State 2 Income Tax Withheld,,,True,ADP2
36,Field Count Check,Yes,Yes,True,ADP2
37,Employee Name,Eric Williams,Eric Williams,True,ADP2
37,Employer Name,Davis LLC LLC,Davis LLC LLC,True,ADP2
37,Wages and Tips,179553.17,179553.17,True,ADP2
37,Federal Income Tax Withheld,63904.04,63904.04,True,ADP2
37,Social Security Wages,150330.34,150330.34,True,ADP2
37,Medicare Wages and Tips,178137.74,178137.74,True,ADP2
37,State 1,WY,WY,True,ADP2
37,State 1 Wages and Tips,87372.24,87372.24,True,ADP2
37,State 1 Income Tax Withheld,3346.50,3346.50,True,ADP2
37,State 2,,,True,ADP2
37,State 2 Wages and Tips,,,True,ADP2
37,State 2 Income Tax Withheld,,,True,ADP2
37,Field Count Check,Yes,Yes,True,ADP2
38,Employee Name,Francisco Pierce,Francisco Pierce,True,ADP2
38,Employer Name,Browning LLC Ltd,Browning LLC Ltd,True,ADP2
38,Wages and Tips,72866.96,72866.96,True,ADP2
38,Federal Income Tax Withheld,17704.07,17704.07,True,ADP2
38,Social Security Wages,76981.85,76981.85,True,ADP2
38,Medicare Wages and Tips,74634.25,74634.25,True,ADP2
38,State 1,KS,KS,True,ADP2
38,State 1 Wages and Tips,37635.07,37635.07,True,ADP2
